"community","city","district","address","latitude","longitude","latitude_gps","longitude_gps","type","total_area","total_units","year"
"铁路医院家属楼","武汉市","武昌","武昌-徐东-杨园街","30.609641384173","114.34831003314","30.605779050952382","114.33635659694794","暂无数据","暂无数据","暂无数据","2003年"
"武汉理工大学河校小区","武汉市","武昌","武昌-徐家棚-友谊大道229号","30.576028808907","114.32725842317","30.57258373587354","114.31526915857509","暂无数据","暂无数据","暂无数据","2002年"
"鄂电村社区","武汉市","武昌","武昌-积玉桥-和平大道431号","30.579746","114.322101","30.57638433965144","114.31009908828847","暂无数据","12000m²","500户","1996年"
"超能电力宿舍","武汉市","武昌","武昌-中南丁字桥-雄楚大街53号","30.526103694887","114.32762591995","30.522659500540925","114.31560607801842","暂无数据","暂无数据","暂无数据","1998年"
"杨园法庭宿舍","武汉市","武昌","武昌-徐东-杨园街141号","30.609362","114.346388","30.60553249974845","114.33443012196808","暂无数据","暂无数据","暂无数据","1991年"
"滨湖机械厂宿舍","武汉市","武昌","武昌-中北路-坨塘路","30.578371","114.365394","30.574353801924353","114.35348000209918","暂无数据","暂无数据","暂无数据","1989年"
"远洋宿舍","武汉市","武昌","武昌-中北路-团结大道","30.589166501691","114.35570524342","30.585212917806565","114.3437851412227","暂无数据","暂无数据","暂无数据","2001年"
"万吨冷库新宿舍","武汉市","武昌","武昌-徐东-红盛路6号","30.594859640271","114.34581597772","30.591049582718554","114.33387184728049","暂无数据","暂无数据","暂无数据","1993年"
"武汉医药设计院宿舍","武汉市","武昌","武昌-中北路-黄鹂路","30.574343","114.366091","30.570325722300254","114.35417668848176","暂无数据","暂无数据","暂无数据","1995年"
"千家鑫苑","武汉市","武昌","武昌-武昌火车站-千家街","30.540569","114.322475","30.5372089260095","114.3104529619715","暂无数据","暂无数据","暂无数据","2000年"
"农管局宿舍","武汉市","武昌","武昌-小东门-民主二路80-17号","30.555021","114.329573","30.551538309595067","114.31758145161783","暂无数据","暂无数据","暂无数据","暂无数据"
"尚隆苑社区","武汉市","武昌","武昌-积玉桥-友谊大道","30.560881","114.323654","30.557500718858225","114.31165160200733","暂无数据","暂无数据","暂无数据","2002年"
"煜龙山庄","武汉市","武昌","武昌-司门口-粮道街238号","30.552757529367","114.31808052561","30.549456623563074","114.3060623260318","暂无数据","暂无数据","暂无数据","2001年"
"中南新苑东区","武汉市","武昌","武昌-中南丁字桥-中南二路12号","30.546113","114.337834","30.542469597006185","114.32585994526274","暂无数据","10000m²","300户","1996年"
"油料所社区","武汉市","武昌","武昌-徐家棚-团结大道","30.584571","114.346503","30.580754549420753","114.33456829708746","公寓","暂无数据","暂无数据","2001年"
"东湖区规划局宿舍","武汉市","武昌","武昌-中北路-东湖路173号","30.578907","114.377486","30.57492745008484","114.36554434588983","暂无数据","暂无数据","暂无数据","1997年"
"郎家巷小区","武汉市","武昌","武昌-司门口-胭脂路","30.555815526504","114.31316347074","30.55256349726597","114.30114412415323","暂无数据","暂无数据","暂无数据","1996年"
"武科大宿舍","武汉市","武昌","武昌-徐东-团结南路","30.591118344182","114.34709157154","30.587288250975963","114.33515397569704","暂无数据","暂无数据","暂无数据","2002年"
"汽渡宿舍","武汉市","武昌","武昌-阅马场首义-鲇鱼套街54号","30.53359828338","114.29749181247","30.530356024328082","114.28547683571144","暂无数据","暂无数据","暂无数据","2008年"
"汉成里社区","武汉市","武昌","武昌-积玉桥-和平大道","30.564835242547","114.31354929295","30.561578711768245","114.30153585341604","暂无数据","暂无数据","暂无数据","2000年"
"梅花庭院","武汉市","武昌","武昌-武泰闸烽火-武庆堤44号","30.536475469761","114.33501636922","30.532888727175056","114.32302493317307","暂无数据","暂无数据","暂无数据","2006年"
"积玉桥工商宿舍","武汉市","武昌","武昌-司门口-胭脂路","30.55663435535","114.3131657165","30.553382214546932","114.30114700884033","暂无数据","5000m²","120户","1991年"
"江宏大厦","武汉市","武昌","武昌-中南丁字桥-雄楚大道","30.525629134351","114.33058601627","30.52213021850511","114.31857431265512","暂无数据","暂无数据","暂无数据","2001年"
"武昌海马巷小区","武汉市","武昌","武昌-司门口-海马巷","30.555404554516","114.30812074292","30.552180518880885","114.29610269385644","暂无数据","暂无数据","暂无数据","1997年"
"紫沙阁","武汉市","武昌","武昌-小东门-紫沙路","30.550953","114.329331","30.54747519885874","114.31733528829807","暂无数据","暂无数据","暂无数据","2001年"
"陆总花园","武汉市","武昌","武昌-南湖花园-瑞安街273号","30.519875","114.331052","30.51636845935746","114.31904017060181","暂无数据","暂无数据","暂无数据","2001年"
"中北路省体育局宿舍","武汉市","武昌","武昌-中北路-名强街7号","30.555183","114.340555","30.551485318713326","114.32859742934609","暂无数据","暂无数据","暂无数据","2001年"
"徐家棚港务局宿舍","武汉市","武昌","武昌-徐东-秦园路","30.597723","114.333861","30.594141899392408","114.32187794202214","暂无数据","暂无数据","暂无数据","2001年"
"洪山公寓","武汉市","武昌","武昌-中南丁字桥-武珞路543-1号","30.538598757729","114.34547578942","30.53480999407728","114.3335176519189","公寓","暂无数据","暂无数据","2002年"
"富华商住楼","武汉市","武昌","武昌-徐东-秦园路4-17号","30.596618791718","114.33562308476","30.59300350577879","114.32364665522745","暂无数据","暂无数据","暂无数据","2009年"
"全福宫","武汉市","武昌","武昌-阅马场首义-复兴路","30.543196112328","114.30832870065","30.539972359320988","114.29629961580999","暂无数据","暂无数据","暂无数据","2002年"
"海山金谷","武汉市","武昌","武昌-中北路-中北路101号","30.557796","114.344452","30.55402419339467","114.33250788753715","普通住宅","130000m²","436户","2012年"
"水运宿舍","武汉市","武昌","武昌-积玉桥-和平大道","30.597373","114.339782","30.593674894982808","114.32781790636534","暂无数据","暂无数据","暂无数据","2000年"
"乃园社区","武汉市","武昌","武昌-阅马场首义-大成路","30.549146","114.302526","30.545925221250013","114.29051104031728","暂无数据","暂无数据","暂无数据","2000年"
"三角路小区","武汉市","武昌","武昌-徐家棚-长喻路","30.582560496396","114.33036087755","30.579055620431145","114.31837858274646","暂无数据","暂无数据","暂无数据","1995年"
"月汉里小区","武汉市","武昌","武昌-徐东-四美塘路","30.608020630827","114.34390707851","30.6042367049033","114.33194391873867","暂无数据","暂无数据","暂无数据","1995年"
"武汉大学高家湾社区","武汉市","武昌","武昌-中北路-东湖路103号","30.560533648212","114.35598749101","30.55658686770469","114.34406853530923","暂无数据","暂无数据","暂无数据","2000年"
"税务局宿舍(南湖路)","武汉市","武昌","武昌-南湖花园-长虹桥103号","30.518206335856","114.316485674","30.514927983032873","114.30444296563029","公寓","暂无数据","暂无数据","1995年"
"小东门职业病防治宿舍","武汉市","武昌","武昌-小东门-民主路","30.550509","114.335584","30.54690997264359","114.32360686894994","暂无数据","暂无数据","暂无数据","1989年"
"保望堤社区","武汉市","武昌","武昌-阅马场首义-保望堤","30.533545","114.304534","30.530327908861818","114.29250170135475","公寓","暂无数据","暂无数据","1997年"
"上新河社区","武汉市","武昌","武昌-积玉桥-临江大道169号","30.575821578561","114.32068839633","30.572481893842117","114.30868461473206","暂无数据","暂无数据","暂无数据","2000年"
"华康里小区","武汉市","武昌","武昌-积玉桥-临江大道289号","30.578201358185","114.3214436916","30.574850009145546","114.30944091382905","暂无数据","暂无数据","暂无数据","1992年"
"南湖老区","武汉市","武昌","武昌-南湖花园-南湖路","30.516198","114.317378","30.5129103099669","114.30533624730192","暂无数据","暂无数据","暂无数据","1996年"
"政通体苑","武汉市","武昌","武昌-阅马场首义-大成路","30.550333","114.301214","30.54710845576576","114.28920310400292","暂无数据","暂无数据","暂无数据","暂无数据"
"武昌积玉桥街汉安里社区","武汉市","武昌","武昌-积玉桥-和平大道","30.562458","114.312543","30.55920973830523","114.30052811566057","暂无数据","暂无数据","137户","1997年"
"合记里社区","武汉市","武昌","武昌-徐东-秦园路","30.597613","114.336958","30.593970568693056","114.3249848061463","暂无数据","暂无数据","暂无数据","1989年"
"湖北省实验幼儿师范学校-教工住宅","武汉市","武昌","武昌-武昌火车站-武珞路391号","30.542990988359","114.33596462051","30.53938492546897","114.32398180275365","公寓","暂无数据","暂无数据","1998年"
"东三苑","武汉市","武昌","武昌-水果湖-东三路17号","30.54843805535","114.35522554827","30.54450126267902","114.34329590661379","暂无数据","暂无数据","暂无数据","1990年"
"茶港新村东院","武汉市","武昌","武昌-东湖风景区-天鹅路5号","30.54825821236","114.36076953056","30.54426926995884","114.34884328560514","暂无数据","暂无数据","暂无数据","暂无数据"
"湖北省科学技术厅住宅小区","武汉市","武昌","武昌-水果湖-南苑村55号","30.546190810225","114.35251536055","30.542288842056912","114.34057971307872","暂无数据","暂无数据","暂无数据","1991年"
"农村发展银行宿舍","武汉市","武昌","武昌-中北路-中北路229号","30.571517600107","114.3570403949","30.567557113748194","114.34512697060151","暂无数据","暂无数据","暂无数据","暂无数据"
"天心小区","武汉市","武昌","武昌-阅马场首义-解放路173号","30.539603580319","114.30334633897","30.536384936254574","114.29132104002576","暂无数据","暂无数据","暂无数据","1993年"
"大东门三村","武汉市","武昌","武昌-小东门-大东门三村2号","30.54715","114.331145","30.543638189728565","114.31915112037191","公寓","暂无数据","暂无数据","1992年"
"纯水岸·东湖别墅","武汉市","武昌","武昌-中北路-武昌东湖生态旅游风景区欢乐大道166号（华侨城公交场站附近）","30.5903191","114.391377","30.58651734699055","114.37936822450051","暂无数据","1020000m²","8141户","2013年"
"三环集团宿舍","武汉市","武昌","武昌-中南丁字桥-武珞路588号","30.540979848298","114.33200641694","30.53745185190944","114.3200094913547","暂无数据","暂无数据","暂无数据","2000年"
"华天明珠紫阳府","武汉市","武昌","武昌-阅马场首义-解放路","30.535503","114.303179","30.53228445537357","114.29115065932712","暂无数据","暂无数据","暂无数据","2016年"
"长鑫家园","武汉市","武昌","武昌-徐家棚-喻家湖路231号","30.580344","114.336048","30.576728980592318","114.32408402129919","暂无数据","暂无数据","暂无数据","2012年"
"湖大琴园小区","武汉市","武昌","武昌-徐家棚-团结大道","30.57905147616","114.33552256437","30.575447435423715","114.32355729088339","暂无数据","暂无数据","暂无数据","2010年"
"中南国际汇","武汉市","武昌","武昌-中南丁字桥-武昌区武珞路与丁字桥路交汇处","30.537821186998","114.34092699633","30.534117613106137","114.32895512155643","普通住宅","暂无数据","暂无数据","暂无数据"
"民政厅花苑小区","武汉市","武昌","武昌-东湖风景区-东湖南路18号","30.537631094784","114.38255415782","30.533711909771398","114.37056899633313","暂无数据","暂无数据","暂无数据","暂无数据"
"南院小区","武汉市","武昌","武昌-中南丁字桥-武珞路564号","30.536344","114.342551","30.532609404777034","114.33058277351337","暂无数据","暂无数据","暂无数据","暂无数据"
"青鱼咀球场小区","武汉市","武昌","武昌-中北路-青鱼嘴133-3号","30.570806561097","114.35499207867","30.56686902659901","114.34307638687302","暂无数据","暂无数据","暂无数据","1998年"
"堤后街社区","武汉市","武昌","武昌-武泰闸烽火-武金堤路","30.506720168966","114.28239066803","30.503301355934912","114.2704376002184","暂无数据","暂无数据","暂无数据","1997年"
"石碑岭社区","武汉市","武昌","武昌-中南丁字桥-石牌岭路","30.527191395602","114.34748628698","30.523368956879153","114.33552549210123","公寓","暂无数据","暂无数据","1999年"
"水果湖街滨湖社区","武汉市","武昌","武昌-中北路-车家岭街","30.572874","114.361725","30.56887469054766","114.34981339927276","暂无数据","暂无数据","暂无数据","2004年"
"水果湖派出所宿舍","武汉市","武昌","武昌-中北路-车家岭街","30.571529","114.365262","30.56751453618357","114.35334832698248","公寓","暂无数据","暂无数据","暂无数据"
"水务集团宿舍","武汉市","武昌","武昌-小东门-民主路三巷","30.554447789992","114.33555319659","30.55084902318564","114.32357937134103","暂无数据","暂无数据","暂无数据","1999年"
"繁花里","武汉市","武昌","武昌-阅马场首义-后长街","30.548211249415","114.30662892696","30.544991490880037","114.29460620204797","暂无数据","暂无数据","暂无数据","1996年"
"风光村社区","武汉市","武昌","武昌-东湖风景区-珞珈山路","30.540043","114.382101","30.536118104535486","114.37011981935522","暂无数据","暂无数据","暂无数据","2000年"
"团结名居桔园","武汉市","武昌","武昌-徐东-秦园中路97号","30.592054","114.34844","30.588200754002184","114.33650489081641","暂无数据","暂无数据","暂无数据","2014年"
"涂家岭兰苑小区","武汉市","武昌","武昌-中南丁字桥-丁字桥路29号","30.534965602463","114.34001382423","30.531280073240517","114.32803687692203","暂无数据","暂无数据","暂无数据","2000年"
"广里堤","武汉市","武昌","武昌-阅马场首义-广里堤54号","30.53364844183","114.30566270956","30.53043104175661","114.293628714012","暂无数据","暂无数据","暂无数据","暂无数据"
"郭家营小区","武汉市","武昌","武昌-司门口-得胜桥197号","30.558451","114.31217","30.555206022117726","114.30015251348962","暂无数据","暂无数据","暂无数据","1997年"
"国家审计署驻汉办事处小区","武汉市","武昌","武昌-小东门-天鹅路","30.547405","114.360928","30.543415025991727","114.34900097564022","公寓","暂无数据","暂无数据","1995年"
"武汉理工大学友谊小区","武汉市","武昌","武昌-徐家棚-友谊大道382号","30.588338","114.34324","30.584578731485053","114.33129406047844","公寓","暂无数据","暂无数据","1990年"
"武汉市第三医院宿舍楼","武汉市","武昌","武昌-阅马场首义-彭刘杨路241号","30.546206","114.310464","30.542972697174346","114.29843639736531","公寓","暂无数据","暂无数据","1993年"
"武汉市武昌区疾病预防控制中心","武汉市","武昌","武昌-司门口-民主路","30.548969418273","114.32182187822","30.54561854641037","114.30980622227071","暂无数据","暂无数据","暂无数据","2000年"
"武重金厦小区","武汉市","武昌","武昌-中北路-兴国南路","30.563143","114.354736","30.559210341312184","114.34281713148684","暂无数据","暂无数据","暂无数据","1999年"
"武汉铁路粤汉里住宅小区","武汉市","武昌","武昌-徐东-杨园西路","30.608129106688","114.34375086318","30.604348004717597","114.33178714109309","暂无数据","暂无数据","暂无数据","1995年"
"西厂口社区","武汉市","武昌","武昌-阅马场首义-九龙井正街","30.547747","114.31014","30.544515287788506","114.29811394266314","暂无数据","暂无数据","暂无数据","1995年"
"小洪山西区","武汉市","武昌","武昌-水果湖-东三路","30.545163","114.354156","30.54123944556203","114.34222194183306","公寓","暂无数据","暂无数据","1991年"
"湖北大学教师公寓","武汉市","武昌","武昌-徐家棚-友谊大道392号","30.588934","114.344921","30.58514341064276","114.33297937478123","公寓","暂无数据","暂无数据","1999年"
"新河社区船院小区","武汉市","武昌","武昌-积玉桥-临江大道387号","30.580922","114.320931","30.57757686079583","114.30892655006457","暂无数据","暂无数据","暂无数据","2001年"
"湖北省民主党派机关团体宿舍","武汉市","武昌","武昌-武昌火车站-首义路71号","30.543393460145","114.31701163188","30.540105656116157","114.30498374077325","暂无数据","暂无数据","暂无数据","2003年"
"新长江香榭东沙","武汉市","武昌","武昌-中北路-公正路","30.559936","114.32654","30.556507624775307","114.31454385285508","暂无数据","暂无数据","暂无数据","2017年"
"星星社区","武汉市","武昌","武昌-小东门-民主二路80号","30.554968856982","114.33034679751","30.55147160810408","114.31835744620555","暂无数据","暂无数据","暂无数据","1998年"
"积玉新城","武汉市","武昌","武昌-积玉桥-和平大道","30.562692","114.314784","30.559425059839906","114.3027700126205","暂无数据","暂无数据","暂无数据","2001年"
"徐家棚机务段宿舍","武汉市","武昌","武昌-徐东-沟边街","30.599594","114.337165","30.595946198771227","114.32519043674088","暂无数据","暂无数据","暂无数据","2000年"
"江零南苑","武汉市","武昌","武昌-武昌火车站-张之洞路284号","30.538160884454","114.31942591777","30.534844151702682","114.30739646691973","公寓","暂无数据","暂无数据","暂无数据"
"解放桥公寓","武汉市","武昌","武昌-阅马场首义-解放路","30.533548591495","114.30136368888","30.530325846072632","114.28933787496909","暂无数据","暂无数据","暂无数据","2005年"
"江南集团宿舍","武汉市","武昌","武昌-徐东-和平大道","30.614415679286","114.35932837903","30.61041047549251","114.34738573408535","暂无数据","暂无数据","暂无数据","2000年"
"粤汉里社区幸福小院","武汉市","武昌","武昌-徐东-杨园街","30.60929","114.344375","30.60549661367516","114.33241177908992","暂无数据","暂无数据","暂无数据","1995年"
"警官大院","武汉市","武昌","武昌-司门口-青龙巷84号","30.553137412978","114.30910672305","30.54991001971566","114.29708603322469","暂无数据","暂无数据","暂无数据","2001年"
"赵家墩社区","武汉市","武昌","武昌-徐家棚-学院路特1号","30.586274493564","114.33189538638","30.582738409283593","114.31991574325815","公寓","暂无数据","暂无数据","1998年"
"九龙涺","武汉市","武昌","武昌-武泰闸烽火-白沙洲大道555号","30.526241349668","114.30862945333","30.523018386741388","114.29658787190773","暂无数据","暂无数据","暂无数据","2014年"
"忠诚湖大教师公寓","武汉市","武昌","武昌-徐家棚-友谊大道","30.58939","114.345371","30.585591049949887","114.33343026523717","公寓","暂无数据","暂无数据","1990年"
"新安万福广场","武汉市","武昌","武昌-武泰闸烽火-万福林538号","30.526941","114.302491","30.52372226997637","114.29045870898857","暂无数据","暂无数据","暂无数据","暂无数据"
"东亭花园海棠苑","武汉市","武昌","武昌-中北路-东亭路10号","30.575502","114.369589","30.571483519998733","114.35766935649568","暂无数据","暂无数据","暂无数据","暂无数据"
"东亭花园碧竹苑","武汉市","武昌","武昌-中北路-东亭路10号","30.576389","114.37","30.572370874857114","114.35807948379554","暂无数据","暂无数据","暂无数据","暂无数据"
"地铁凤凰苑","武汉市","武昌","武昌-积玉桥-一马路","30.5622","114.313198","30.558946800465332","114.30118307976142","暂无数据","暂无数据","暂无数据","暂无数据"
"奥山创意街区(商住楼)","武汉市","武昌","武昌-武昌火车站-武珞路六巷","30.547297","114.336326","30.543683466915077","114.32434828418003","暂无数据","暂无数据","暂无数据","暂无数据"
"沙湖明珠","武汉市","武昌","武昌-中北路-烟霞路","30.561698","114.32715","30.558258608525584","114.31515655074884","暂无数据","暂无数据","暂无数据","暂无数据"
"风华天城枇杷湾","武汉市","武昌","武昌-南湖花园-平安路","30.512557","114.326991","30.50912768528918","114.31496834541377","暂无数据","暂无数据","暂无数据","暂无数据"
"铁四院职工住宅楼","武汉市","武昌","武昌-徐东-和平大道673号","30.609006","114.349389","30.60512663982245","114.33743869970255","公寓","暂无数据","暂无数据","暂无数据"
"风华天城祺善坊","武汉市","武昌","武昌-南湖花园-平安路","30.513767","114.327697","30.510324684793993","114.31567592548146","暂无数据","暂无数据","暂无数据","暂无数据"
"丁字桥路60号小区","武汉市","武昌","武昌-中南丁字桥-丁字桥路60号","30.529839","114.336084","30.526231820181007","114.32409128147506","公寓","暂无数据","暂无数据","暂无数据"
"秦园鑫寓","武汉市","武昌","武昌-徐家棚-三角路","30.58945","114.339481","30.585762493398658","114.32752293761112","公寓","暂无数据","暂无数据","暂无数据"
"风华天城月亮湾","武汉市","武昌","武昌-南湖花园-平安路","30.51169","114.329845","30.508208882818348","114.3178304478175","公寓","暂无数据","暂无数据","2004年"
"九通商厦","武汉市","武昌","武昌-中北路-中北路滨湖村2号","30.573648","114.361137","30.569652171734084","114.34922549504992","公寓","暂无数据","暂无数据","暂无数据"
"龙源国际广场","武汉市","武昌","武昌-中北路-中北路24号","30.56072","114.349383","30.556863119307188","114.33745326307354","公寓","暂无数据","暂无数据","1999年"
"武昌区检察院德福苑","武汉市","武昌","武昌-武泰闸烽火-白沙洲大道","30.516926","114.307897","30.51370764314478","114.2958541884926","公寓","暂无数据","暂无数据","暂无数据"
"万科金域华府金寓","武汉市","武昌","武昌-徐东-才茂街2号","30.60641","114.356795","30.60243380738251","114.344859232453","公寓","暂无数据","暂无数据","2015年"
"三角花园刘家河D区","武汉市","武昌","武昌-徐家棚-三角路","30.589271","114.338245","30.585607976506523","114.32628320413689","公寓","暂无数据","暂无数据","暂无数据"
"三角花园刘家河C区","武汉市","武昌","武昌-徐家棚-三角路","30.589073","114.339269","30.585389869239723","114.3273105541172","公寓","暂无数据","暂无数据","暂无数据"
"三角花园刘家河小区","武汉市","武昌","武昌-徐家棚-友谊大道","30.587106","114.33882","30.583432770857712","114.3268614970002","公寓","暂无数据","暂无数据","暂无数据"
"轻院长虹小区","武汉市","武昌","武昌-南湖花园-长虹桥97号","30.518921","114.316679","30.515640358466367","114.30463650749876","公寓","暂无数据","暂无数据","暂无数据"
"东原时光道(商住楼)","武汉市","武昌","武昌-徐东-友谊大道","30.590565","114.34527","30.58676720806383","114.33332809904198","公寓","暂无数据","暂无数据","2015年"
"舒苑大厦","武汉市","武昌","武昌-中北路-友谊大道336号","30.579672","114.332171","30.57613365540379","114.32019514046469","公寓","暂无数据","暂无数据","暂无数据"
"三角花园余家湖小区","武汉市","武昌","武昌-徐家棚-秦园中路","30.587861","114.347502","30.58402571795956","114.33556783053338","公寓","暂无数据","暂无数据","暂无数据"
"三角花园赵家墩小区","武汉市","武昌","武昌-徐家棚-和平大道501号","30.581697","114.325169","30.578285752651272","114.31317311422919","公寓","暂无数据","暂无数据","暂无数据"
"友谊大道15号","武汉市","武昌","武昌-积玉桥-友谊大道15号","30.563619","114.322794","30.56025170201605","114.31079135983764","公寓","暂无数据","暂无数据","暂无数据"
"三角花园柳村小区","武汉市","武昌","武昌-徐家棚-和平大道","30.582523","114.325139","30.57911187954926","114.31314270717502","公寓","暂无数据","暂无数据","暂无数据"
"广厦中北领秀","武汉市","武昌","武昌-中北路-中北路135号","30.564924","114.349863","30.561058815917505","114.33793663737261","暂无数据","25909m²","236户","2003年"
"棋盘街社区","武汉市","武昌","武昌-司门口-粮道街","30.553234910495","114.3200070316","30.549909345110237","114.3079919718613","暂无数据","暂无数据","暂无数据","2000年"
"紫晋公寓","武汉市","武昌","武昌-司门口-粮道街259号","30.553634","114.31654","30.5503506099361","114.30452086654132","暂无数据","暂无数据","暂无数据","1999年"
"站前阳光","武汉市","武昌","武昌-武昌火车站-南安街13号","30.530443","114.324454","30.527052674999503","114.31242849030474","暂无数据","13143m²","138户","2008年"
"龙凯大厦","武汉市","武昌","武昌-徐东-和平大道749-1号","30.610359905765","114.35355137629","30.606419299500605","114.34160739087613","公寓","9251m²","75户","2004年"
"涂家岭居逸楼小区","武汉市","武昌","武昌-中南丁字桥-丁字桥路74号","30.532252554128","114.33374598646","30.528691357948464","114.32174745780057","暂无数据","暂无数据","暂无数据","1998年"
"大东门公寓","武汉市","武昌","武昌-武昌火车站-老车站路164号","30.538884295753","114.32558065797","30.535474296546326","114.31356408288788","暂无数据","10488m²","103户","2005年"
"南湖新村二号","武汉市","武昌","武昌-南湖花园-南湖路","30.517668814037","114.31655717912","30.514389841248118","114.30451453019762","暂无数据","暂无数据","160户","1990年"
"忠孝门小区","武汉市","武昌","武昌-司门口-忠孝门28号","30.550561623383","114.3219885139","30.547208161702304","114.30997461245366","暂无数据","暂无数据","暂无数据","1992年"
"湖北广播电视局宿舍","武汉市","武昌","武昌-小东门-紫沙路53号","30.552238","114.328564","30.548774260140743","114.31656726409297","公寓","暂无数据","暂无数据","1990年"
"桥梁新村小区","武汉市","武昌","武昌-徐东-四美塘西路","30.606557","114.348845","30.60268797415421","114.33689615491802","公寓","暂无数据","暂无数据","1995年"
"粤汉里社区","武汉市","武昌","武昌-徐东-建新路","30.610052279412","114.34536305208","30.606240469407012","114.33340172348412","暂无数据","暂无数据","暂无数据","暂无数据"
"明伦小区","武汉市","武昌","武昌-武泰闸烽火-明仑正街","30.527321582894","114.31371089811","30.524067776159082","114.30166876198611","暂无数据","暂无数据","暂无数据","1995年"
"小东门铁路小区","武汉市","武昌","武昌-小东门-紫沙路","30.552623","114.32938","30.54914414432443","114.31738589061447","暂无数据","暂无数据","暂无数据","1995年"
"馨都茗苑","武汉市","武昌","武昌-阅马场首义-解放路78号","30.536689317037","114.30344497291","30.53347104618005","114.29141704461333","暂无数据","暂无数据","暂无数据","2000年"
